Date,Open,High,Low,Close,Adj Close,Volume
2023-09-13,4.780000,4.880000,4.780000,4.880000,4.880000,3988
2023-09-14,4.860000,4.900000,4.860000,4.900000,4.900000,1518
2023-09-15,4.720000,4.720000,4.440000,4.620000,4.620000,11961
2023-09-18,4.780000,4.820000,4.520000,4.640000,4.640000,13688
2023-09-19,4.640000,4.640000,4.540000,4.580000,4.580000,1464
2023-09-20,4.460000,4.500000,4.460000,4.480000,4.480000,1137
2023-09-21,4.420000,4.640000,4.420000,4.420000,4.420000,2355
2023-09-22,4.860000,4.860000,4.620000,4.840000,4.840000,9330
2023-09-25,4.880000,4.880000,4.800000,4.800000,4.800000,2642
2023-09-26,4.780000,4.780000,4.780000,4.780000,4.780000,1524
2023-09-27,4.780000,4.780000,4.780000,4.780000,4.780000,0
2023-09-28,4.640000,4.820000,4.640000,4.820000,4.820000,78
2023-09-29,4.820000,4.820000,4.820000,4.820000,4.820000,0
2023-10-02,4.560000,4.880000,4.560000,4.880000,4.880000,1020
2023-10-03,4.820000,4.880000,4.820000,4.880000,4.880000,5001
2023-10-04,4.640000,4.640000,4.640000,4.640000,4.640000,2
2023-10-05,4.880000,4.880000,4.660000,4.660000,4.660000,1908
2023-10-06,4.660000,4.660000,4.560000,4.560000,4.560000,241
2023-10-09,4.660000,4.660000,4.660000,4.660000,4.660000,1455
2023-10-10,4.660000,4.660000,4.660000,4.660000,4.660000,0
2023-10-11,4.520000,4.520000,4.500000,4.500000,4.500000,100
